case,death
0.636363636,0
2.172413793,0.034482759
6077.129032,138.8064516
29576.5,1961.2
23340.19355,1330.290323
28467.3,769.4333333
61882.19355,851.6129032
47541.54839,955.1612903
40575.93333,779.3333333
62782.96774,763.2258065
146877.1333,1250.633333
206757.4194,2516.741935
199891.2581,3072.548387
85811.82143,2560
59829.83871,1247.709677
62782.93333,799.3
29533.48387,602.7096774
12061.73333,337.5
44477.41935,273.3225806
138647.2581,890.3225806
138046.7667,1920.566667
79873,1535.709677
86223.1,1181.333333
198986.0968,1392.032258
654876.3548,1987.322581
